BlankieID,Tree,survey,blankie,Date,state,height,cardinal,Top.angle,Bottom.angle,Top.width,Bottom.width,Notes,Prosoma.length,Prosoma.width,Opisthosoma.length,Opisthosoma.width,Circumference..cm.,Scientific.Name,Common.Name,treeRadius,occupied,cardinalInRadians,SurveyName,BlankieWidth,BlankieLength,BlankieArea,surveyId
1042-01-01,1042,1,1,2018-07-23,Good,1.74,174,48.92,-10.28,4.82,6.2,,1.98,1.72,3.11,2.32,87,Angophora costata,Smooth-barked Apple Myrtle,0.138464800489949,TRUE,-4.60766922526503,2018-07,7.6066286335235,14.9415919587069,85.4952349344022,1
1042-01-02,1042,1,2,2018-07-23,Good,1.47,189,-60.4,-2.045,4.03,4.18,,NA,NA,NA,NA,87,Angophora costata,Smooth-barked Apple Myrtle,0.138464800489949,FALSE,-4.86946861306418,2018-07,7.09046454767726,12.5509372453138,67.5517450086389,1
1042-01-03,1042,1,3,2018-07-23,Damaged,0.79,149,,,,,,NA,NA,NA,NA,87,Angophora costata,Smooth-barked Apple Myrtle,0.138464800489949,FALSE,-4.17133691226645,2018-07,6.90029883183917,13.039934800326,73.3009239055951,1
1043-01-02,1043,1,2,2018-07-23,Damaged,0.72,219,,,,,,NA,NA,NA,NA,121,Angophora costata,Smooth-barked Apple Myrtle,0.192577481141193,FALSE,-5.39306738866248,2018-07,5.4333061668025,8.82912252105406,41.0346721244751,1
1066-01-01,1066,1,1,2018-07-23,Good,1.03,217,80.41,-11.26,6.86,5.68,,2.38,1.88,3.77,2.63,188,Eucalyptus grandis,Flooded Gum,0.299211293012763,TRUE,-5.35816080362259,2018-07,8.4759576202119,23.933713664765,144.713991634244,1
1066-01-02,1066,1,2,2018-07-23,Good,0.74,192,-53.56,8.92,5.28,5.19,,2.07,1.69,2.7,1.79,188,Eucalyptus grandis,Flooded Gum,0.299211293012763,TRUE,-4.92182849062401,2018-07,5.81363759847867,14.3982613420266,65.2520734498564,1
1066-01-03,1066,1,3,2018-07-23,Good,0.96,74,-47.67,8.72,4.04,4.46,,NA,NA,NA,NA,188,Eucalyptus grandis,Flooded Gum,0.299211293012763,FALSE,-2.8623399732707,2018-07,7.71529475685955,14.0722629720185,80.0110053601683,1
1066-01-04,1066,1,4,2018-07-23,Good,1.78,58,-52.45,-15.45,4.58,4.69,,NA,NA,NA,NA,188,Eucalyptus grandis,Flooded Gum,0.299211293012763,FALSE,-2.58308729295161,2018-07,7.41646291768541,13.8549307253464,87.2886245004617,1
1066-01-05,1066,1,5,2018-07-23,Good,1.74,356,-66.22,16.73,6.43,6.25,,2.37,1.86,3.59,2.5,188,Eucalyptus grandis,Flooded Gum,0.299211293012763,TRUE,-7.78416846389471,2018-07,10.1602825319207,21.760391198044,162.137915200128,1
1068-01-01,1068,1,1,2018-07-23,Slightly damaged,1.68,248,-66.66,3.5,5.43,5.25,,1.95,1.7,2.77,1.93,134+96,Eucalyptus grandis,Flooded Gum,0.366056369111359,TRUE,-5.89921287174083,2018-07,6.60146699266504,13.9364303178484,65.1081594723331,1
1068-01-02,1068,1,2,2018-07-23,Good,0.78,163,53.43,-10.99,7.7,8.47,,2.34,1.911,3.69,2.53,134+96,Eucalyptus grandis,Flooded Gum,0.366056369111359,TRUE,-4.41568300754565,2018-07,7.87829394186362,24.9932083672915,147.469759798715,1
1068-01-03,1068,1,3,2018-07-23,Good,1.41,11,62.36,-6.29,6.65,6.08,,2.37,1.91,3,1.96,134+96,Eucalyptus grandis,Flooded Gum,0.366056369111359,TRUE,-1.76278254451427,2018-07,9.10078782939419,17.3322466721,120.744565162441,1
1068-01-04,1068,1,4,2018-07-23,Slightly damaged,1.26,347,39.67,29.74,5.83,3.86,,2.37,1.87,3.12,2.04,134+96,Eucalyptus grandis,Flooded Gum,0.366056369111359,TRUE,-7.62708883121522,2018-07,11.4371094811193,25.2377071447976,186.184833813674,1
1068-01-05,1068,1,5,2018-07-23,Good,1.31,345,47.45,9.98,3.94,3.45,,1.83,1.45,2.67,1.78,134+96,Eucalyptus grandis,Flooded Gum,0.366056369111359,TRUE,-7.59218224617533,2018-07,7.74246128769356,14.2080956261885,75.5459819549585,1
1068-01-06,1068,1,6,2018-07-23,Good,0.96,330,-73.82,19.13,7.3,5.49,,1.88,1.51,2.94,2.04,134+96,Eucalyptus grandis,Flooded Gum,0.366056369111359,TRUE,-7.33038285837618,2018-07,9.69845150774246,18.1472425971203,134.122660908927,1
1068-01-07,1068,1,7,2018-07-23,Good,0.71,332,43.91,-19.16,4.72,4.84,,1.75,1.32,2.48,1.72,134+96,Eucalyptus grandis,Flooded Gum,0.366056369111359,TRUE,-7.36528944341607,2018-07,8.53029068187992,15.158924205379,95.4024207511852,1
